id;categoryId;title;summary;details;external_link
m7;mobilites;M7. Priorité enfants (13 écoles);Réduire drastiquement la vitesse et le transit.;Transformer les abords des 13 écoles retenues en zones de rencontre ou sens uniques pour libérer de l'espace de vie sans bloquer la desserte locale.;
m8;mobilites;M8. Double Sens Cyclable;Fluidité et visibilité en centre-ville.;Généraliser la signalisation des doubles sens (interventions légères : marquage, panneaux) pour éviter les détours inutiles aux cyclistes.;
m9;mobilites;M9. Extension Cœur de Ville;Zones piétonnes et de rencontre.;Redonner de l'espace à la vie et au commerce de proximité (priorité piétonne) tout en préservant l'accessibilité pour les résidents et les livraisons.;
m10;mobilites;M10. Visibilité Passages Piétons;Mise en conformité Loi LOM.;Neutraliser systématiquement le stationnement 5 mètres en amont des passages piétons (arceaux vélos, végétalisation) pour la sécurité des plus vulnérables.;
m11;mobilites;M11. Cohabitation Pacifiée;Sensibilisation et pédagogie.;Sensibiliser les automobilistes et expliquer les nouveaux aménagements (sas vélo, voie verte, etc.) pour inciter à la vigilance et à la modération.;
m12;mobilites;M12. Maillage Territorial;Relier 8 mairies sur 10.;Créer des itinéraires efficaces entre les centres-villes. Déployer des aménagements de transition immédiats sur les carrefours critiques avant pérennisation.;
m13;mobilites;M13. Activer le Réflexe Vélo;Signalétique unifiée et jalonnement.;Déployer un jalonnement dense vers les points d'intérêt et une signalisation incitant naturellement au partage de la route.;
m14;mobilites;M14. Combattre l'enclavement;Chemins de proximité et Loi LAURE.;Préempter des passages clés pour restaurer les continuités et appliquer strictement la Loi LAURE : chaque rénovation de voirie doit intégrer un aménagement cyclable.;
a1;agriculture;A1. Nommer un élu dédié;Un engagement réel sans cumul de mandats.;Nommer un(e) élu(e) Agriculture et Alimentation durable qui ne pourra pas cumuler plus de 2 délégations afin de garantir un engagement réel et total dédié à ces deux thèmes.;
a2;agriculture;A2. Commission Citoyenne Agricole;Responsabiliser élus, pros et citoyens.;Créer une commission 'multi-acteurs' pilotée par la mairie incluant élus, associations, citoyens, professionnels, équipes éducatives, parents et agriculteurs.;
a3;agriculture;A3. Sauvegarder les terres (ZAP);Zéro Artificialisation Nette et Zones Protégées.;Appliquer l'objectif Zéro Artificialisation Nette (ZAN) et mettre en place des Zones Agricoles Protégées (ZAP) sur la commune pour empêcher le bétonnage des terres fertiles.;
a4;agriculture;A4. Mobiliser les terres privées;Inciter les propriétaires à louer ou cultiver.;Encourager la mise en culture des terres privées inexploitées via des incitations fiscales ou des taxes, et faciliter les contrats de fermage pour lutter contre la spéculation immobilière.;
a5;agriculture;A5. Espaces-test agricoles;Aider les jeunes agriculteurs à se lancer.;Mettre à disposition des terres communales pour créer des espaces-tests permettant à de nouveaux agriculteurs de vérifier la viabilité de leur projet dans un cadre sécurisé.;
a6;agriculture;A6. Foncière Agricole (SCIC);La ville achète, l'agriculteur cultive.;Créer une coopérative (SCIC ou SCOP) pour acquérir du foncier, réaliser les aménagements nécessaires (serres, irrigation) et louer à des exploitants locaux sans spéculation.;
a7;agriculture;A7. Habitat léger agricole;Loger les agriculteurs sur place.;Autoriser et encadrer l'installation d'habitats légers pour les maraîchers afin de contourner la pression immobilière et leur permettre de vivre dignement sur leur lieu de production.;
a8;agriculture;A8. Jardins et vergers urbains;Des espaces verts comestibles pour tous.;Transformer les espaces verts en massifs nourriciers et créer des jardins partagés animés par des agents communaux, accessibles aux habitants via une carte membre.;
a9;agriculture;A9. Ferme Municipale Pédagogique;Produire pour les cantines et éduquer.;Créer une ferme gérée par des agents municipaux : production agro-écologique pour la restauration collective et lieu pédagogique pour sensibiliser les écoles et le public.;
a10;agriculture;A10. Sécurité Sociale de l'Alimentation;Un droit à bien manger pour tous.;Soutenir l'expérimentation d'une Sécurité Sociale de l'Alimentation (SSA) pour garantir un revenu décent aux paysans et l'accès à une alimentation saine pour tous les foyers.;
a11;agriculture;A11. Maison de l'Alimentation;Un tiers-lieu de partage et de vente.;Créer un lieu ressource ouvert à tous : vente de produits locaux, distribution solidaire, éducation populaire et espace pour les associations.;
a12;agriculture;A12. Programme Pédagogique;Éduquer au goût et au zéro-déchet.;Lancer un programme municipal de sensibilisation (écoles, affichage) sur l'alimentation durable, la lutte contre le gaspillage et la valorisation des déchets organiques.;
a13;agriculture;A13. Marché Paysan Festif;Un rendez-vous hebdomadaire convivial.;Créer un marché (nocturne ou week-end) avec producteurs locaux sous charte stricte, food-trucks et animations culturelles pour recréer du lien social.;
a14;agriculture;A14. Audit Participatif Cantines;Évaluer la satisfaction et améliorer.;Lancer une enquête 'multi-acteurs' pilotée par la mairie pour diagnostiquer la restauration collective et établir un cahier des charges plus ambitieux que la loi EGalim.;
a15;agriculture;A15. Contrats Producteurs Locaux;Sécuriser les débouchés de nos agriculteurs.;Développer des contrats directs entre la commune et les producteurs locaux pour fournir les cantines, afin de soutenir l'économie du territoire.;
a16;agriculture;A16. Plus de menus végétariens;Santé et écologie dans l'assiette.;Favoriser la cuisine végétale : respecter a minima l'obligation hebdomadaire et instaurer une alternative végétarienne quotidienne (choix) pour tous.;
a17;agriculture;A17. Formation Cuisine Durable;Valoriser le savoir-faire des agents.;Mettre en œuvre un programme de formation obligatoire pour le personnel des cantines (cuisine végétale, produits frais) via des conventions mutualisées.;
a18;agriculture;A18. Stop Ultra-transformé;Priorité au fait-maison et produits bruts.;Éliminer progressivement les produits industriels ultra-transformés (additifs, texturants) des menus au profit de produits bruts, frais et de saison.;
a19;agriculture;A19. Stop Plastique (Cantines);Protéger la santé des enfants.;Supprimer définitivement les contenants et ustensiles à usage unique et en plastique pour éviter la migration de perturbateurs endocriniens.;
a20;agriculture;A20. Portions sur-mesure;Réduire le gâchis dans les assiettes.;Mettre en place un système de portions adaptées à l'appétit réel des enfants et des séniors pour lutter efficacement contre le gaspillage alimentaire.;
a21;agriculture;A21. Compostage Systématique;Valoriser les restes en engrais local.;Organiser la collecte et le compostage des déchets organiques de la restauration collective pour amender les terres agricoles locales.;
a22;agriculture;A22. Projet Alimentaire Territorial;Collaborer avec la Métropole.;Travailler en synergie avec la métropole TPM pour appliquer concrètement les actions du Projet Alimentaire Territorial (PAT) sur la commune de Hyères.;
